iter	RMSE
0	0.976448604
1	0.9544840837
2	0.9342349756
3	0.9124450357
4	0.8916252125
5	0.8708243408
6	0.8539617611
7	0.8352954503
8	0.8174149161
9	0.8003835247
10	0.7851627129
11	0.76847298
12	0.7532900276
13	0.7384245215
14	0.7239363128
15	0.7101054889
16	0.6960640253
17	0.6835256353
18	0.6714682781
19	0.6585398117
20	0.6468048492
21	0.63438009
22	0.623181662
23	0.6127098403
24	0.6023970733
25	0.5922158474
26	0.581727034
27	0.571504503
28	0.5620913448
29	0.5526200971
30	0.5435982922
31	0.5357366776
32	0.5275853918
33	0.5197808011
34	0.5126095221
35	0.5052423081
36	0.4979285935
37	0.4911240526
38	0.4846331112
39	0.4780770167
40	0.4719044177
41	0.4660225265
42	0.4599709216
43	0.4545750701
44	0.4491761717
45	0.4442816254
46	0.4392299009
47	0.4342473941
48	0.4298140962
49	0.425190405
50	0.4207546397
51	0.4163094856
52	0.41216981
53	0.4082540382
54	0.4043176918
55	0.4005662046
56	0.3968380944
57	0.3934950782
58	0.390217223
59	0.3871805149
60	0.3840018386
61	0.3808114624
62	0.377894369
63	0.3750973591
64	0.3722433855
65	0.3692985027
66	0.366427306
67	0.363854974
68	0.3614625964
69	0.3588595915
70	0.3566096157
71	0.3541961981
72	0.3518631694
73	0.3496041048
74	0.3473941366
75	0.3454232259
76	0.3434392857
77	0.3414736134
78	0.3395217157
79	0.3377611542
80	0.3357594461
81	0.3340551439
82	0.3321513322
83	0.330415024
84	0.3287787456
85	0.3271725824
86	0.3255926104
87	0.3240793671
88	0.3225708098
89	0.3212066179
90	0.3198132704
91	0.3184599434
92	0.3171492998
93	0.3157550691
94	0.3144684339
95	0.3132515803
96	0.3120160176
97	0.3108301495
98	0.3099231912
99	0.3088568443
100	0.3078169503
101	0.306873043
102	0.305818806
103	0.3048238647
104	0.3039475785
105	0.3032021075
106	0.3022454113
107	0.3013592771
108	0.3005511496
109	0.299683282
110	0.298742388
111	0.2980036687
112	0.297206163
113	0.2963907741
114	0.2956090572
115	0.2947480241
116	0.2939846479
117	0.2931794715
118	0.292585174
119	0.2919391881
120	0.2913098119
121	0.2905149921
122	0.2897148299
123	0.2890282339
124	0.2883558981
125	0.2877327986
126	0.2870528741
127	0.2863960002
128	0.2856827872
129	0.2850458715
130	0.2844421084
131	0.2837992108
132	0.283240556
133	0.28267678
134	0.2820433207
135	0.2814910816
136	0.2809642433
137	0.2804125779
138	0.2798792825
139	0.2793256394
140	0.2788398936
141	0.278317296
142	0.2778620663
143	0.2774182846
144	0.2768893253
145	0.2764595698
146	0.2760302671
147	0.2755961078
148	0.2751619578
149	0.2747293855
150	0.2742794033
151	0.2738312877
152	0.2734281611
153	0.2729708378
154	0.2726152369
155	0.2722858239
156	0.2719296851
157	0.2714879187
158	0.2711506659
159	0.2708403268
160	0.2704334658
161	0.2700397521
162	0.2697039518
163	0.269386757
164	0.2690514495
165	0.2686917569
166	0.2682756485
167	0.2679534731
168	0.2676591528
169	0.2673673593
170	0.2669675685
171	0.266668634
172	0.2662933756
173	0.2659294608
174	0.2656216315
175	0.2653597157
176	0.2651232555
177	0.264843552
178	0.2646044536
179	0.2643733209
180	0.2641551459
181	0.2639585315
182	0.2637700327
183	0.2635564699
184	0.2632529913
185	0.2629375679
186	0.2626884761
187	0.2624692553
188	0.2622527165
189	0.261832592
190	0.2614963037
191	0.2612730946
192	0.2611004486
193	0.2608621831
194	0.2606287708
195	0.2604205448
196	0.2601582765
197	0.2599226134
198	0.2597224593
199	0.2595123058
200	0.2592586289
201	0.2589431469
202	0.2587203477
203	0.2585493466
204	0.2583241621
205	0.2581556182
