iter	Passed	Remaining
0	0	881
1	1	793
2	2	734
3	2	702
4	3	682
5	4	669
6	4	657
7	5	644
8	5	640
9	6	636
10	7	634
11	7	631
12	8	629
13	8	630
14	9	627
15	10	633
16	11	643
17	11	648
18	12	646
19	13	645
20	13	641
21	14	638
22	14	636
23	15	641
24	16	646
25	17	652
26	18	658
27	19	662
28	19	660
29	20	670
30	21	675
31	22	680
32	23	680
33	24	685
34	25	691
35	26	697
36	26	695
37	27	692
38	27	689
39	28	693
40	29	692
41	30	693
42	31	695
43	31	694
44	32	691
45	33	688
46	33	685
47	34	681
48	35	680
49	35	678
50	36	675
51	36	672
52	37	669
53	38	667
54	38	665
55	39	663
56	39	661
57	40	659
58	41	662
59	42	662
60	42	661
61	43	660
62	44	658
63	44	656
64	45	655
65	46	655
66	46	654
67	47	655
68	48	657
69	49	660
70	50	658
71	50	656
72	51	655
73	52	653
74	53	653
75	53	654
76	54	656
77	55	659
78	56	662
79	57	661
80	58	661
81	58	660
82	59	658
83	60	658
84	61	657
85	61	658
86	62	659
87	63	659
88	64	658
89	65	657
90	65	656
91	66	655
92	67	653
93	67	654
94	68	656
95	69	655
96	70	654
97	71	653
98	71	651
99	72	650
100	73	650
101	74	651
102	75	653
103	75	654
104	76	653
105	77	652
106	78	651
107	78	649
108	79	649
109	80	648
110	80	648
111	81	646
112	82	645
113	82	643
114	83	642
115	84	641
116	84	639
117	85	640
118	86	640
119	87	640
120	87	638
121	88	637
122	89	635
123	89	634
124	90	633
125	91	634
126	92	632
127	92	631
128	93	629
129	93	628
130	94	627
131	95	625
132	95	624
133	96	623
134	97	621
135	97	620
136	98	620
137	99	620
138	100	619
139	100	618
140	101	617
141	101	616
142	102	614
143	103	614
144	104	614
145	105	614
146	105	614
147	106	614
148	107	613
149	108	612
150	108	611
151	109	611
152	110	611
153	111	610
154	112	610
155	112	610
156	113	609
157	114	608
158	114	607
159	115	606
160	116	605
161	117	605
162	117	605
163	118	604
164	119	603
165	119	602
166	120	601
167	121	600
168	121	598
169	122	598
170	123	599
171	124	598
172	125	598
173	125	596
174	126	595
175	126	594
176	127	593
177	128	592
178	129	592
179	130	592
180	130	592
181	131	591
182	132	590
183	132	589
184	133	588
185	134	587
186	135	587
187	135	587
188	136	587
189	137	587
190	138	586
191	139	585
192	139	584
193	140	583
194	141	582
195	141	581
196	142	581
197	143	581
198	144	581
199	144	579
200	145	578
201	146	577
202	146	576
203	147	575
204	148	574
205	149	574
206	149	574
207	150	573
208	151	572
209	151	571
210	152	570
