iter	RMSE
0	0.9737084519
1	0.9477866585
2	0.9224105949
3	0.9003331084
4	0.8770819172
5	0.8540187625
6	0.8322206573
7	0.8133089323
8	0.7950315418
9	0.7773852301
10	0.7622721952
11	0.7477038176
12	0.7338041226
13	0.7223814467
14	0.7093211966
15	0.6967815921
16	0.6857111124
17	0.675996237
18	0.6659038083
19	0.6563726027
20	0.6469855328
21	0.6395566379
22	0.6325659499
23	0.6253015575
24	0.6202734616
25	0.6139950503
26	0.6086097235
27	0.602754998
28	0.5970067942
29	0.5913551815
30	0.586225997
31	0.583323347
32	0.5785425623
33	0.5738692494
34	0.5699590054
35	0.5657046619
36	0.5620522258
37	0.5582609491
38	0.5546687567
39	0.5518171998
40	0.5485032714
41	0.5461556029
42	0.5434115668
43	0.5400017184
44	0.5385225562
45	0.5363914944
46	0.533434813
47	0.5313552128
48	0.529518083
49	0.5272725933
50	0.524997943
51	0.5237332182
52	0.5221520827
53	0.5198620762
54	0.5182256509
55	0.5159447328
56	0.5143980775
57	0.5136602132
58	0.511836324
59	0.5104484888
60	0.5096089556
61	0.508873591
62	0.5077267545
63	0.5055152631
64	0.5035619625
65	0.5021034504
66	0.5002729072
67	0.4991605528
68	0.49822315
69	0.4967059631
70	0.49578468
71	0.4946711419
72	0.4938107963
73	0.492670383
74	0.4912142009
75	0.490068032
76	0.4886084309
77	0.4871742083
78	0.4858528259
79	0.4848566038
80	0.4840137208
81	0.4830194291
82	0.482296248
83	0.4809346582
84	0.4797286424
85	0.4783962414
86	0.4774877376
87	0.4767153183
88	0.4757659658
89	0.4750546498
90	0.4739562598
91	0.4732941967
92	0.4726715649
93	0.4716170989
94	0.4708551835
95	0.4699981059
96	0.4694537427
97	0.4688556555
98	0.4681745758
99	0.4670360086
100	0.466387859
101	0.4655676818
102	0.4648859594
103	0.4644306022
104	0.4634797689
105	0.4628955705
106	0.4618730078
107	0.4611847627
108	0.4603463278
109	0.4595855669
110	0.4591548029
111	0.4583805725
112	0.4574182858
113	0.4565583489
114	0.4560567745
115	0.4554998894
116	0.4551445583
117	0.4545832268
118	0.453793273
119	0.4531593675
120	0.4525498199
121	0.4515865948
122	0.4509461811
123	0.4504014307
124	0.4495980193
125	0.4491443492
126	0.4487191411
127	0.4478588449
128	0.447142329
129	0.446642332
130	0.446081625
131	0.4452981721
132	0.4448199452
133	0.4441007712
134	0.4434889384
135	0.4429748651
136	0.4422333899
137	0.4414695462
138	0.4410904837
139	0.4405610837
140	0.4402473575
141	0.4398482574
142	0.4392520289
143	0.4388854216
144	0.4384697735
145	0.4381578476
146	0.4376787793
147	0.4372868033
148	0.436757484
149	0.4365158926
150	0.4362392504
151	0.4360122026
152	0.4356214958
153	0.4353972283
154	0.4349969463
155	0.4343972317
156	0.4340657436
157	0.4335646101
158	0.4332021478
159	0.43279718
160	0.4323031605
161	0.4318191537
162	0.4315203958
163	0.4311767073
164	0.4308602099
165	0.4304105059
166	0.4301187063
167	0.4295206716
168	0.4293120563
169	0.428653293
170	0.4283370748
171	0.4277986529
172	0.4275784233
173	0.4271179674
174	0.4268206409
175	0.4265391472
176	0.4261475417
177	0.4257456665
178	0.4252403383
179	0.424831609
180	0.4243656586
181	0.4239357745
182	0.4237236638
183	0.4233393173
184	0.4229767366
185	0.4226894371
186	0.4223393311
187	0.4221121208
188	0.4216812114
189	0.4211013552
190	0.4208887168
191	0.4205863073
192	0.4203613035
193	0.4200810968
194	0.4195467512
195	0.4191680372
196	0.4188644194
197	0.4186801212
198	0.4181964496
199	0.417759128
200	0.4175263809
201	0.4174691858
202	0.4172891131
203	0.4169582691
204	0.4166162666
