iter	Passed	Remaining
0	60	60497
1	66	33023
2	71	23683
3	76	18994
4	81	16151
5	85	14197
6	91	12911
7	96	11912
8	100	11102
9	104	10378
10	108	9795
11	113	9303
12	117	8888
13	121	8535
14	125	8273
15	131	8061
16	136	7870
17	141	7703
18	146	7561
19	150	7373
20	155	7231
21	159	7106
22	164	7000
23	169	6884
24	173	6774
25	177	6666
26	182	6575
27	187	6493
28	191	6408
29	195	6328
30	202	6323
31	208	6293
32	212	6216
33	216	6144
34	220	6076
35	224	6015
36	228	5955
37	232	5897
38	237	5843
39	241	5788
40	245	5739
41	249	5694
42	253	5648
43	257	5605
44	262	5561
45	266	5519
46	270	5481
47	274	5445
48	278	5408
49	282	5372
50	286	5338
51	290	5304
52	295	5273
53	299	5241
54	303	5212
55	307	5182
56	311	5152
57	315	5125
58	319	5100
59	324	5077
60	328	5055
61	332	5031
62	336	5006
63	340	4986
64	345	4962
65	349	4942
66	353	4920
67	357	4897
68	361	4877
69	365	4857
70	369	4838
71	373	4819
72	378	4802
73	382	4783
74	386	4765
75	390	4748
76	394	4727
77	398	4710
78	402	4695
79	405	4666
80	409	4649
81	413	4632
82	418	4618
83	422	4603
84	426	4587
85	430	4572
86	434	4559
87	438	4545
88	442	4531
89	445	4508
90	450	4495
91	454	4484
92	458	4470
93	462	4456
94	466	4443
95	470	4430
96	474	4417
97	478	4407
98	483	4396
99	486	4380
100	490	4368
101	495	4358
102	499	4346
103	502	4333
104	506	4321
105	509	4300
106	514	4292
107	518	4278
108	521	4265
109	525	4254
110	530	4245
111	534	4234
112	538	4224
113	541	4210
114	545	4197
115	549	4187
116	553	4177
117	557	4167
118	561	4157
119	565	4147
120	569	4138
121	573	4130
122	577	4120
123	580	4104
124	585	4095
125	588	4083
126	592	4074
127	596	4065
128	599	4046
129	603	4038
130	607	4030
131	611	4020
132	615	4013
133	619	4004
134	623	3997
135	628	3991
136	632	3987
137	637	3982
138	641	3976
139	646	3970
140	649	3957
141	653	3951
142	658	3945
143	662	3939
144	667	3934
145	671	3925
146	675	3920
147	679	3913
148	684	3907
149	688	3901
150	692	3895
151	697	3891
152	701	3884
153	705	3873
154	709	3868
155	714	3863
156	718	3855
157	722	3850
158	726	3844
159	731	3838
160	735	3832
161	738	3822
162	741	3808
163	745	3801
164	749	3793
165	753	3784
166	757	3778
167	761	3770
168	765	3763
169	769	3755
170	773	3748
171	777	3742
172	781	3734
173	785	3727
174	789	3720
175	791	3707
176	795	3700
177	799	3693
178	802	3681
179	805	3670
180	808	3657
181	812	3650
182	816	3644
183	819	3632
184	822	3621
185	826	3615
186	830	3608
187	834	3603
188	838	3597
189	842	3591
190	846	3585
191	849	3575
192	853	3569
193	857	3562
194	859	3549
195	863	3541
196	866	3533
197	870	3527
198	874	3520
199	878	3514
200	883	3510
201	886	3500
202	890	3494
203	894	3489
204	896	3477
205	899	3468
206	904	3464
207	908	3458
208	912	3453
209	916	3448
210	920	3441
211	922	3430
212	926	3423
213	930	3418
214	934	3413
215	939	3408
216	943	3404
217	946	3393
218	950	3389
219	953	3381
220	958	3377
221	961	3370
222	966	3367
223	970	3363
224	975	3358
225	977	3348
226	982	3344
227	986	3340
228	990	3335
229	994	3330
230	999	3327
231	1003	3321
232	1007	3317
233	1012	3313
234	1016	3309
235	1020	3302
236	1024	3298
237	1028	3293
238	1033	3290
239	1037	3285
240	1041	3280
241	1045	3276
242	1050	3271
243	1054	3267
244	1058	3261
245	1062	3257
246	1066	3252
247	1070	3247
248	1075	3242
249	1079	3238
250	1083	3233
251	1087	3229
252	1091	3224
253	1096	3219
254	1100	3215
255	1104	3210
256	1109	3206
257	1113	3203
258	1118	3200
259	1123	3197
260	1127	3191
261	1131	3187
262	1136	3184
263	1140	3180
264	1145	3178
265	1151	3176
266	1156	3173
267	1161	3172
268	1167	3173
269	1173	3173
270	1180	3175
271	1190	3186
272	1197	3187
273	1204	3190
274	1209	3189
275	1214	3187
276	1220	3184
277	1225	3182
278	1231	3181
279	1236	3178
280	1241	3177
281	1247	3175
282	1252	3173
283	1258	3172
284	1263	3170
285	1268	3167
286	1273	3164
287	1279	3162
288	1285	3161
289	1293	3166
290	1299	3165
291	1305	3164
292	1312	3167
293	1318	3165
294	1323	3161
295	1328	3158
296	1333	3155
297	1338	3152
298	1343	3150
299	1349	3148
300	1354	3145
301	1359	3142
302	1364	3138
303	1369	3135
304	1373	3130
305	1378	3127
306	1384	3124
307	1389	3122
308	1394	3119
309	1400	3116
310	1405	3113
311	1410	3109
312	1415	3106
313	1420	3104
314	1424	3098
315	1429	3095
316	1435	3092
317	1440	3089
318	1445	3086
319	1450	3082
320	1455	3079
321	1460	3075
322	1465	3072
323	1471	3069
324	1476	3066
325	1481	3063
326	1487	3060
327	1492	3058
328	1498	3056
329	1503	3053
330	1509	3051
331	1515	3049
332	1520	3045
333	1525	3042
334	1531	3039
335	1536	3036
336	1541	3033
337	1546	3028
338	1550	3023
339	1554	3017
340	1559	3013
341	1563	3009
342	1568	3004
343	1573	2999
344	1577	2995
345	1582	2991
346	1586	2986
347	1591	2981
348	1595	2976
349	1599	2971
350	1604	2965
351	1608	2960
352	1612	2955
353	1616	2950
354	1620	2944
355	1625	2939
356	1629	2934
357	1633	2929
358	1637	2924
359	1642	2919
360	1646	2913
361	1650	2908
362	1654	2903
363	1659	2899
364	1663	2894
365	1667	2888
366	1672	2883
367	1676	2878
368	1679	2872
369	1682	2865
370	1687	2860
371	1691	2855
372	1695	2850
373	1699	2844
374	1703	2839
375	1707	2833
376	1711	2828
377	1715	2823
378	1720	2818
379	1724	2813
380	1728	2807
381	1732	2802
382	1736	2797
383	1740	2791
384	1744	2786
385	1748	2780
386	1752	2775
387	1756	2770
388	1760	2765
389	1763	2758
390	1766	2751
391	1770	2746
392	1775	2741
393	1778	2735
394	1783	2731
395	1787	2726
396	1791	2721
397	1796	2717
398	1800	2712
399	1805	2708
400	1810	2704
401	1815	2700
402	1820	2696
403	1824	2691
404	1828	2686
405	1833	2681
406	1837	2676
407	1841	2671
408	1845	2666
409	1849	2661
410	1853	2656
411	1858	2651
412	1862	2646
413	1864	2639
414	1869	2634
415	1873	2629
416	1877	2625
417	1882	2620
418	1886	2615
419	1890	2610
420	1894	2605
421	1899	2601
422	1903	2596
423	1907	2591
424	1912	2586
425	1916	2581
426	1918	2575
427	1923	2570
428	1927	2565
429	1931	2560
430	1935	2555
431	1939	2550
432	1943	2545
433	1947	2540
434	1952	2535
435	1956	2530
436	1960	2525
437	1964	2520
438	1968	2515
439	1972	2510
440	1976	2505
441	1980	2500
442	1984	2495
443	1988	2490
444	1992	2485
445	1996	2480
446	2000	2475
447	2003	2468
448	2007	2463
449	2011	2457
450	2015	2453
451	2019	2448
452	2022	2442
453	2027	2437
454	2031	2433
455	2035	2428
456	2039	2423
457	2044	2419
458	2048	2414
459	2052	2409
460	2057	2405
461	2059	2398
462	2063	2393
463	2067	2388
464	2071	2382
465	2075	2378
466	2079	2373
467	2083	2368
468	2087	2363
469	2092	2359
470	2096	2354
471	2099	2349
472	2103	2343
473	2107	2338
474	2110	2332
475	2113	2327
476	2118	2322
477	2122	2317
478	2126	2312
479	2130	2308
480	2134	2303
481	2139	2298
482	2143	2293
483	2147	2289
484	2151	2284
485	2155	2280
486	2159	2275
487	2164	2271
488	2173	2271
489	2178	2267
490	2182	2262
491	2187	2258
492	2191	2253
493	2196	2249
494	2201	2245
495	2205	2241
496	2209	2236
497	2214	2232
498	2219	2228
499	2223	2223
500	2228	2219
501	2233	2215
502	2237	2210
503	2242	2206
504	2246	2202
505	2251	2197
506	2255	2193
507	2259	2188
508	2263	2183
509	2267	2178
510	2272	2174
511	2276	2169
512	2280	2165
513	2284	2160
514	2288	2155
515	2292	2150
516	2296	2145
517	2300	2141
518	2305	2136
519	2308	2131
520	2313	2126
521	2317	2122
522	2321	2116
523	2325	2112
524	2329	2107
525	2333	2102
526	2337	2098
527	2341	2093
528	2346	2088
529	2350	2084
530	2354	2079
531	2358	2074
532	2362	2070
533	2366	2065
